id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,max_size,full,role
16,2020-10-29 18:42:08.669375,2,,,,,f,,{},face_network,6,t,men
13,2020-10-29 18:42:08.663632,2,,,,,f,,{},face_network,8,t,women
20,2020-10-29 18:42:08.676851,2,,,,,f,,{},face_network,8,t,men
25,2020-10-29 18:42:08.686525,2,,,,,f,,{},face_network,6,t,women
9,2020-10-29 18:42:08.656155,2,,,,,f,,{},face_network,9,t,women
23,2020-10-29 18:42:08.682538,2,,,,,f,,{},face_network,7,t,women
11,2020-10-29 18:42:08.659912,2,,,,,f,,{},face_network,10,t,women
24,2020-10-29 18:42:08.684439,2,,,,,f,,{},face_network,7,t,men
10,2020-10-29 18:42:08.658072,2,,,,,f,,{},face_network,9,t,men
5,2020-10-29 18:42:08.648242,2,,,,,f,,{},face_network,11,t,women
1,2020-10-29 18:42:08.639699,2,,,,,f,,{},face_network,9,t,women
28,2020-10-29 18:42:08.692214,2,,,,,t,,{},face_network,2,t,women
29,2020-10-29 18:42:08.694143,2,,,,,t,,{},face_network,0,t,women
12,2020-10-29 18:42:08.661753,2,,,,,f,,{},face_network,5,t,men
17,2020-10-29 18:42:08.671245,2,,,,,f,,{},face_network,7,t,women
3,2020-10-29 18:42:08.644353,2,,,,,f,,{},face_network,9,t,women
8,2020-10-29 18:42:08.654261,2,,,,,f,,{},face_network,6,t,men
30,2020-10-29 18:42:08.696081,2,,,,,t,,{},face_network,2,t,women
6,2020-10-29 18:42:08.650188,2,,,,,f,,{},face_network,8,t,men
27,2020-10-29 18:42:08.690305,2,,,,,t,,{},face_network,0,t,men
26,2020-10-29 18:42:08.688418,2,,,,,f,,{},face_network,7,t,women
14,2020-10-29 18:42:08.66554,2,,,,,f,,{},face_network,7,t,men
2,2020-10-29 18:42:08.642386,2,,,,,f,,{},face_network,9,t,men
19,2020-10-29 18:42:08.674999,2,,,,,f,,{},face_network,6,t,women
4,2020-10-29 18:42:08.646333,2,,,,,f,,{},face_network,7,t,men
7,2020-10-29 18:42:08.652299,2,,,,,f,,{},face_network,9,t,women
21,2020-10-29 18:42:08.67874,2,,,,,f,,{},face_network,8,t,women
15,2020-10-29 18:42:08.667426,2,,,,,f,,{},face_network,9,t,women
22,2020-10-29 18:42:08.680643,2,,,,,f,,{},face_network,4,t,men
18,2020-10-29 18:42:08.673139,2,,,,,f,,{},face_network,5,t,men
