id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,assignment_id,event_type
1,2020-10-29 18:42:23.404967,,,,,,f,,{},3PS7W85Z819MGJKL8RWQHWXAAZ89TH,AssignmentAccepted
2,2020-10-29 18:42:23.493952,,,,,,f,,{},3Z4GS9HPNXHV42ZLGRV5Y4EMQCT77R,AssignmentAccepted
3,2020-10-29 18:42:23.498534,,,,,,f,,{},3A4TN5196MPY980TKHPS53VU5QGCHR,AssignmentAccepted
4,2020-10-29 18:42:26.034854,,,,,,f,,{},3OLF68YTNB8Q2XCP5D51WNTTP8IFAU,AssignmentAccepted
5,2020-10-29 18:42:26.052481,,,,,,f,,{},30BXRYBRP647N66Y18PTHX2XX6YHW5,AssignmentAccepted
6,2020-10-29 18:42:26.080626,,,,,,f,,{},3QY7M81QH9TJZH65ZLKE29J8WWT7KX,AssignmentAccepted
7,2020-10-29 18:42:26.092943,,,,,,f,,{},3ERMJ6L4D0ZEP568KXXUHMBCL1O7M2,AssignmentAccepted
8,2020-10-29 18:42:26.108127,,,,,,f,,{},3VHP9MDGRPREVC9NPR1S2IJHPB3FCW,AssignmentAccepted
9,2020-10-29 18:42:26.124822,,,,,,f,,{},3VD82FOHKSV81PMGOUKIPCSVHCUCOF,AssignmentAccepted
10,2020-10-29 18:42:26.164136,,,,,,f,,{},3EG49X351WJ6FHR7FUUBMPREXUNX6C,AssignmentAccepted
11,2020-10-29 18:42:26.172347,,,,,,f,,{},3DY46V3X3RP1UU7J451B20MU80355V,AssignmentAccepted
12,2020-10-29 18:42:26.194546,,,,,,f,,{},3NJM2BJS4YDQMPYH3UXXECXLRHQCPW,AssignmentAccepted
13,2020-10-29 18:42:26.214331,,,,,,f,,{},3U4J9857OGII6E2BT87L360I92K7BD,AssignmentAccepted
14,2020-10-29 18:42:26.218723,,,,,,f,,{},3Z7EFSHGNBLVVY08PL7E8PJOTGYXC4,AssignmentAccepted
15,2020-10-29 18:42:26.243184,,,,,,f,,{},38F71OA9GV3R4YLE2GV65EOTJP7MFL,AssignmentAccepted
16,2020-10-29 18:42:26.244728,,,,,,f,,{},37TD41K0AJGNZHE9VB1R9H2WE1XCSC,AssignmentAccepted
17,2020-10-29 18:42:26.267177,,,,,,f,,{},3ITXP059PYQA7VKF53IDWLFR4L6JSX,AssignmentAccepted
18,2020-10-29 18:42:26.275119,,,,,,f,,{},34X6J5FLPV5YUF52DZT81L0QMXLJQ8,AssignmentAccepted
19,2020-10-29 18:42:26.296387,,,,,,f,,{},3GGAI1SQEX5K1M14BE55X83QMCFCM0,AssignmentAccepted
20,2020-10-29 18:42:26.308842,,,,,,f,,{},3RGU30DZTCF7907AL6MRKCGLCWOJML,AssignmentAccepted
21,2020-10-29 18:42:26.323053,,,,,,f,,{},33OOO72IVJSOEHROKB6HJMYIGKBCT1,AssignmentAccepted
22,2020-10-29 18:42:26.339337,,,,,,f,,{},3LEIZ60CDL6I2VTKEJL83KYRVVU9ZX,AssignmentAccepted
23,2020-10-29 18:42:26.354967,,,,,,f,,{},3EJJQNKU9TC2FAPC2EFNUYUG5RJHR2,AssignmentAccepted
24,2020-10-29 18:42:26.876198,,,,,,f,,{},3SNVL38CI6ZPBY11Q2SPIVBMX7KCKV,AssignmentAccepted
25,2020-10-29 18:42:26.909351,,,,,,f,,{},3JJVG1YBED43JAOS5FSO5MMMIWP5BW,AssignmentAccepted
26,2020-10-29 18:42:26.926088,,,,,,f,,{},33TIN5LC06HIX5JFIXJPPDPPP1Q9Y6,AssignmentAccepted
27,2020-10-29 18:42:27.004452,,,,,,f,,{},3VHHR074H5OUJNONKLWFH9WNLWY7L0,AssignmentAccepted
28,2020-10-29 18:42:27.0314,,,,,,f,,{},3483FV8BEGQ5E1OAR59IWZXIKLN267,AssignmentAccepted
