id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,status
92,2020-10-29 18:49:55.261678,,,,,,f,,{},participant,8e513ae8ebf623876b1241d38ab8f488,mturk,92,3QILPRALQ72O71WR634081W71B4N85,92:3QILPRALQ72O71WR634081W71B4N85,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:01:04.632158,3,,bad_data
46,2020-10-29 18:45:06.88075,,,,,,f,,{},participant,fff7ee15b25ad04749c2f04084a010a1,mturk,46,30LSNF239W2L7LJBT6I7T2NNTCI2I1,46:30LSNF239W2L7LJBT6I7T2NNTCI2I1,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:10:58.686671,3,,bad_data
265,2020-10-29 19:21:30.742283,,,,,,f,,{},participant,96afd2bf53ef5ed6cfbbdf6b005a5b9f,mturk,265,39N5ACM9HGUOORRERAN6CMWDLWV9PK,265:39N5ACM9HGUOORRERAN6CMWDLWV9PK,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:40:26.62203,3,1.6,approved
22,2020-10-29 18:43:25.410407,,,,,,f,,{},participant,6b5e0fdb2b0bcbdac152c33d01fdb543,mturk,22,336YQZE83XLZ21SPW4IXJ2XGUVT5ML,22:336YQZE83XLZ21SPW4IXJ2XGUVT5ML,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:15:06.199914,3,,bad_data
231,2020-10-29 19:11:09.648606,,,,,,f,,{},participant,5fa67098e18916e139290b9c2708512d,mturk,231,33PPUNGG3ACO6VP680LUU5YL1H4RZ6,231:33PPUNGG3ACO6VP680LUU5YL1H4RZ6,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:17:33.2297,,,returned
311,2020-10-29 19:28:22.237313,,,,,,f,,{},participant,2374f1a275f95c29b6152985e0b61b6d,mturk,311,3L4D84MIL1ZLHM6ZU96ES78PVATJHG,311:3L4D84MIL1ZLHM6ZU96ES78PVATJHG,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:29:20.070585,3,,bad_data
5,2020-10-29 18:42:59.056053,,,,,,f,,{},participant,7d947b054b174a28008fc3ff0d25efbe,mturk,5,3GNCZX450KU2TA1JJG168H7XRE5PA7,5:3GNCZX450KU2TA1JJG168H7XRE5PA7,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:11:40.210613,3,,bad_data
29,2020-10-29 18:43:49.413536,,,,,,f,,{},participant,b0a8178b9787fcea507c71ecf3da4f88,mturk,29,3X3OR7WPZ17YJ1T6UQOLV9SIWG4L81,29:3X3OR7WPZ17YJ1T6UQOLV9SIWG4L81,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:02:28.24681,3,,bad_data
32,2020-10-29 18:44:00.929569,,,,,,f,,{},participant,9482418d5ff5e931035079aafa052866,mturk,32,3VHHR074H5OUJNONKLWFH9WNLWY7L0,32:3VHHR074H5OUJNONKLWFH9WNLWY7L0,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:17:10.601802,3,0.8,approved
4,2020-10-29 18:42:58.203102,,,,,,f,,{},participant,cec34b9f5e9aa66b815e32e0cee4ded2,mturk,4,3F0BG9B9MRUEJMVM30L5BHYJUB27YS,4:3F0BG9B9MRUEJMVM30L5BHYJUB27YS,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:12:06.239936,3,0.8,approved
33,2020-10-29 18:44:01.511755,,,,,,f,,{},participant,82365ad29c150d9e9531c9daed9c7afc,mturk,33,32M8BPYGAVTBMFRISL3WV6HO3VNGIY,33:32M8BPYGAVTBMFRISL3WV6HO3VNGIY,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:26:49.93661,3,1,approved
12,2020-10-29 18:43:11.709619,,,,,,f,,{},participant,5ba53758be1ff879bd7bd587a8628ae1,mturk,12,3N4BPTXIOAZLXSI1CTDPC1XS47RKUD,12:3N4BPTXIOAZLXSI1CTDPC1XS47RKUD,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:14:34.389312,3,1.2,approved
253,2020-10-29 19:15:19.949507,,,,,,f,,{},participant,141852fb73d21429be8ae523a145be23,mturk,253,32SCWG5HIJB168PGT3KUSC5BVVFP6H,253:32SCWG5HIJB168PGT3KUSC5BVVFP6H,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:38:53.108281,3,1.8,approved
274,2020-10-29 19:22:01.135634,,,,,,f,,{},participant,45b568ae7037cf70d86c94c80e39148b,mturk,274,3S3AMIZX3WCHXSVRYL62EIGWDYVCDQ,274:3S3AMIZX3WCHXSVRYL62EIGWDYVCDQ,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:27:46.630534,3,,bad_data
1,2020-10-29 18:42:46.94827,,,,,,f,,{},participant,5ba703e3a4ffa24d33ba637ef6d98c3c,mturk,1,3XIQGXAUMEFPJH5CY4Z3S3RAS587XM,1:3XIQGXAUMEFPJH5CY4Z3S3RAS587XM,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 18:43:31.197173,,,returned
25,2020-10-29 18:43:32.323351,,,,,,f,,{},participant,ea7a0ea5d789f44ea8bdbc13285487fd,mturk,25,3IGI0VL649RRSTJ7DKTW5NM7GG8NO8,25:3IGI0VL649RRSTJ7DKTW5NM7GG8NO8,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:14:56.496032,3,0.4,approved
14,2020-10-29 18:43:13.777975,,,,,,f,,{},participant,3d6ee3b42dbb703f364901d7b70ce559,mturk,14,33OOO72IVJSOEHROKB6HJMYIGKBCT1,14:33OOO72IVJSOEHROKB6HJMYIGKBCT1,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:07:22.580492,3,0.2,approved
26,2020-10-29 18:43:33.081123,,,,,,f,,{},participant,43a0093be2dca2ffca2262c65155daa0,mturk,26,3B2X28YI3YMZ2EO6AY2TXS0MER0B6I,26:3B2X28YI3YMZ2EO6AY2TXS0MER0B6I,362E9TQF2IX8ZVUO2JYU7ML1KUNGIW,live,2020-10-29 19:10:00.706671,3,0.4,approved
