id,creation_time,property1,property2,property3,property4,property5,failed,time_of_death,details,origin_id,destination_id,network_id
837,2020-10-29 18:49:58.47728,,,,,,f,,{},15,143,8
838,2020-10-29 18:49:58.482331,,,,,,f,,{},16,143,8
3,2020-10-29 18:43:09.511864,,,,,,f,,{},3,62,2
4,2020-10-29 18:43:09.51699,,,,,,f,,{},4,62,2
1352,2020-10-29 18:54:08.093148,,,,,,t,2020-10-29 19:00:05.838413,{},179,190,12
892,2020-10-29 18:50:05.851377,,,,,,t,2020-10-29 19:00:06.233832,{},136,147,8
7,2020-10-29 18:43:10.047239,,,,,,f,,{},3,63,2
8,2020-10-29 18:43:10.0545,,,,,,f,,{},4,63,2
11,2020-10-29 18:43:10.081022,,,,,,f,,{},63,62,2
12,2020-10-29 18:43:10.087621,,,,,,f,,{},62,63,2
845,2020-10-29 18:49:58.515138,,,,,,f,,{},143,125,8
846,2020-10-29 18:49:58.519728,,,,,,f,,{},125,143,8
947,2020-10-29 18:50:11.342352,,,,,,f,,{},19,152,10
948,2020-10-29 18:50:11.347445,,,,,,f,,{},20,152,10
1073,2020-10-29 18:50:50.033047,,,,,,f,,{},19,164,10
1074,2020-10-29 18:50:50.0591,,,,,,f,,{},164,152,10
23,2020-10-29 18:43:23.295969,,,,,,f,,{},3,66,2
24,2020-10-29 18:43:23.302944,,,,,,f,,{},4,66,2
847,2020-10-29 18:49:58.524405,,,,,,t,2020-10-29 18:53:18.147738,{},143,128,8
848,2020-10-29 18:49:58.528959,,,,,,t,2020-10-29 18:53:18.152751,{},128,143,8
27,2020-10-29 18:43:23.322215,,,,,,f,,{},66,62,2
28,2020-10-29 18:43:23.328552,,,,,,f,,{},62,66,2
29,2020-10-29 18:43:23.334814,,,,,,f,,{},66,63,2
30,2020-10-29 18:43:23.341002,,,,,,f,,{},63,66,2
93,2020-10-29 18:43:27.530141,,,,,,t,2020-10-29 18:57:09.027843,{},1,71,1
45,2020-10-29 18:43:24.722916,,,,,,f,,{},3,68,2
46,2020-10-29 18:43:24.728217,,,,,,f,,{},4,68,2
49,2020-10-29 18:43:24.743787,,,,,,f,,{},68,62,2
50,2020-10-29 18:43:24.748936,,,,,,f,,{},62,68,2
51,2020-10-29 18:43:24.754004,,,,,,f,,{},68,63,2
52,2020-10-29 18:43:24.759166,,,,,,f,,{},63,68,2
53,2020-10-29 18:43:24.764276,,,,,,f,,{},68,66,2
54,2020-10-29 18:43:24.770267,,,,,,f,,{},66,68,2
59,2020-10-29 18:43:25.543466,,,,,,f,,{},3,69,2
60,2020-10-29 18:43:25.549788,,,,,,f,,{},4,69,2
63,2020-10-29 18:43:25.568481,,,,,,f,,{},69,62,2
64,2020-10-29 18:43:25.574628,,,,,,f,,{},62,69,2
65,2020-10-29 18:43:25.580774,,,,,,f,,{},69,63,2
66,2020-10-29 18:43:25.586904,,,,,,f,,{},63,69,2
67,2020-10-29 18:43:25.593078,,,,,,f,,{},69,66,2
68,2020-10-29 18:43:25.599379,,,,,,f,,{},66,69,2
73,2020-10-29 18:43:25.630693,,,,,,f,,{},69,68,2
74,2020-10-29 18:43:25.636753,,,,,,f,,{},68,69,2
75,2020-10-29 18:43:26.63747,,,,,,f,,{},3,70,2
76,2020-10-29 18:43:26.645309,,,,,,f,,{},4,70,2
79,2020-10-29 18:43:26.661283,,,,,,f,,{},70,69,2
80,2020-10-29 18:43:26.666475,,,,,,f,,{},69,70,2
81,2020-10-29 18:43:26.671534,,,,,,f,,{},70,62,2
